County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Bristol County,21228,2.7449883786215,6.14293847935487,2.6,2.60173313525954,1867,1865.14541572225
Kent County,74651,3.75811253414865,8.7745025811738,3.8,3.80079990067724,7657,7654.27749586279
Newport County,42779,4.62272933598279,11.0217445621526,3.9,3.9,2792,2792
Providence County,266804,3.18417645903723,7.27809350148535,2.7,2.7006288059608,17655,17663.1345633739
Washington County,64706,4.93102388591823,11.8199428111633,5.4,5.39738578749038,7903,7901.6639073205
