County Name,Housing Units,Raw Testing Disparity,Smoothed Testing Disparity,Raw Mean Radon Level,Smoothed Mean Radon Level,Raw Test Count,Smoothed Test Count
Adair County,8632,11.2803613665777,28.5288980464835,5.1,5.12102953456156,53,52.3434094871384
Allen County,9526,11.0774129180632,28.2486395964747,5,5.10270554828559,58,59.386888793428
Anderson County,9539,5.201262110848,12.8030058386738,3.2,3.26067946676408,226,224.950912531741
Ballard County,3924,4.78667041180792,11.7007051641445,1.6,1.61996621331423,4,3.74442753437062
Barren County,19928,16.4426012395153,41.5687612343228,8.1,8.07009111067388,186,186.176809560583
Bath County,5539,13.3212505954953,29.9627967986396,5,4.62456254667729,12,14.7063336973891
Bell County,13272,5.47373885624141,13.4720061883391,1.7,1.76051485072251,8,9.10411356336382
Boone County,50589,7.42803332832231,18.3319182358268,4.8,4.80128409763577,1434,1432.52784044876
Bourbon County,9103,18.5538082177523,45.7259110131386,10,9.68052760596884,127,125.951283966698
Boyd County,21628,5.90717982169763,14.3489710203176,2.8,2.792719040133,168,166.422851532532
Boyle County,12523,8.71560832244847,21.7369807405197,6.2,6.2067436068618,492,488.948732231768
Bracken County,3882,6.93620526411918,19.116941590591,2.4,2.8265627607217,5,7.03038248358956
Breathitt County,6399,5.76183848103011,14.1909599141782,2.7,2.6992998777719,47,43.7155793646087
Breckinridge County,10864,38.9749325906944,88.224734536527,15.4,13.537019135819,32,31.9948052690568
Bullitt County,32263,13.6101592495098,34.3829290822573,7.7,7.69644185635591,551,550.804360549054
Butler County,5984,4.25163282639406,12.8909473848966,1.8,2.25703720086868,26,25.4254267420884
Caldwell County,6287,11.2383605910879,26.4488137230298,4.5,4.21166824000082,20,19.2097302904454
Calloway County,19000,8.25743052670214,20.0271973313096,2.9,2.85697025162922,27,27.8170592263484
Campbell County,40857,6.00469326403555,14.6048789945043,3.2,3.19685174823616,543,542.14121577538
Carlisle County,2478,6.78820260408009,13.0800472057653,2,1.75498159778586,1,1.98723824255154
Carroll County,4738,8.13823815029734,21.1608444383298,3.6,3.78330032506378,26,26.1558858579794
Carter County,12563,9.44797611160278,22.6679308400361,3.8,3.66640626798552,41,40.6859755344328
Casey County,7560,13.4703200395297,34.0729124792709,6,6.06191786159943,43,44.5853131871843
Christian County,29987,14.9317229823864,36.5640698180138,5.7,5.52202134825753,72,72.2331392612051
Clark County,16018,7.91628413057003,19.9192282645596,4.3,4.36495288862031,231,230.711102146525
Clay County,9092,7.69251451033763,18.5011308595273,2.6,2.59144458339174,10,11.2914419999803
Clinton County,5331,14.873240838379,37.1886820284256,7,6.88857371429758,40,39.3770405513791
Crittenden County,4587,7.99947238410611,19.6826506808543,2.9,2.91263783180048,8,8.31312655573637
Cumberland County,3671,12.0094617728835,29.8958422179646,5.2,5.17497906608636,18,18.4615875655483
Daviess County,43481,6.93540826002632,17.1420388534856,2.8,2.80775859760679,145,143.279537958663
Edmonson County,6604,7.90691996286076,20.6386754548995,3.9,4.09311059004862,62,61.5109685783654
Elliott County,3473,16.766235195951,30.3809263422347,5.9,4.35237080677322,5,5.70601148190931
Estill County,6949,13.8673566942635,34.5278335330808,8.7,8.51686758258854,177,173.560208862182
Fayette County,144094,11.6430414717334,29.2798786456698,8.1,8.09444532115341,5263,5262.39475130052
Fleming County,6733,10.9374581080413,25.5896691907483,4.4,4.13276436936706,22,22.2548702720959
Floyd County,18623,12.172980555173,26.2538342918816,4.1,3.54868656335453,20,20.6299357484492
Franklin County,23307,8.31630773654808,20.6219356299791,5.7,5.69581192793955,810,809.008091863079
Fulton County,3329,6.69239621079767,11.7307980011245,1.9,1.49906117615564,1,1.6088106203999
Gallatin County,3961,10.6444492833249,25.8573323797333,4.8,4.69325574375069,24,24.8187162858059
Garrard County,7501,9.79562437274774,24.563878704295,5.9,5.91608612436647,164,162.792838734003
Grant County,10318,7.84955340713319,19.8541595595076,3.7,3.79623029064917,78,79.4102738780111
Graves County,16893,7.11873885087266,16.8288145027296,2.5,2.41304744856095,24,24.0560090789653
Grayson County,13739,9.55211470423077,25.1722582324753,3.7,3.92077762732719,36,37.4991608148105
Green County,5318,10.2781785401419,27.4879006284646,4.6,4.91223474005999,31,31.1629667634494
Greenup County,16309,5.26894558422675,12.826313712705,2.4,2.41984522354028,104,102.911350786998
Hancock County,3753,5.31283189665593,17.7946283650073,1.9,2.60417517785294,6,6.29493901599788
Hardin County,47248,13.8850977345667,35.3579252847762,6.8,6.84317558529287,429,427.920454801831
Harlan County,13606,8.82917618824147,19.1031024599671,2.5,2.31777061780372,4,6.01171399940619
Harrison County,8362,8.82183976681037,21.8685018128349,4.7,4.65806313177303,111,108.775003118102
Hart County,9298,35.5675184506622,84.6296721890547,17.4,16.0432562058886,84,82.1886407541181
Henderson County,20556,8.77385248724657,21.9890445609861,3.4,3.41086850896378,54,52.7383048788432
Henry County,6827,8.88578418452777,22.7101350869819,4,4.15278909561566,41,42.9764052449045
Hickman County,2360,2.52781396295585,7.55077276545169,1,1.25085172021793,7,5.44365036722134
Hopkins County,21505,5.96043834428286,15.7714832140268,2.2,2.37289051369213,42,41.2745377558995
Jackson County,6643,4.44955450765332,17.3850640325794,1.6,2.61170785988582,11,12.9837282894984
Jefferson County,349321,9.13899818478171,22.7802636497344,5.3,5.30203529745117,6590,6592.23175366937
Jessamine County,20797,12.5041284597548,31.4876361986195,8.8,8.78342341626687,789,786.975485182627
Johnson County,10666,2.58084354800464,6.61251314797986,1,1.12666475168094,28,26.5451818397517
Kenton County,69894,5.68758092673275,13.8174952485518,3.2,3.20222707471211,1167,1164.83030823076
Knott County,7687,6.65235246902983,16.4356406183743,2.4,2.44755343302162,13,13.6519982141767
Knox County,14824,5.95884829850615,14.4521394332044,2.2,2.19016285744647,29,28.3576011141921
Larue County,6437,11.8414638788509,31.8844474842127,5.2,5.60548903913946,34,35.3807596642413
Laurel County,26007,6.52074369571201,16.1570668419814,2.7,2.72353708312248,100,97.9185158836072
Lawrence County,7485,4.96391380190757,12.8121725636471,1.7,1.86388586348718,9,10.3962948349471
Lee County,3494,4.34729575153285,14.0711932403117,1.9,2.51149457191779,18,17.063955039433
Leslie County,5429,1.64083190499341,7.74643447022748,0.6,1.18731736376599,10,8.0953596045096
Letcher County,11802,11.1910850108712,26.0684763922452,4.1,3.79513112802869,22,21.1686754968672
Lewis County,6595,10.960134215339,25.1438029844743,4,3.74286837622964,12,13.6215345194398
Lincoln County,11094,13.977707069249,35.1498437824547,7.3,7.25558994829087,135,134.690212597032
Livingston County,4889,3.97174102815842,11.104006331385,1.5,1.7577088068891,11,10.6969755689428
Logan County,12357,10.9714297769282,27.1845054278729,5,4.95200614242037,79,79.6423738141551
Lyon County,4928,8.65824505582565,20.1471529872465,3.4,3.20007578083259,14,13.9258279058309
McCracken County,32300,7.34890677837332,17.3772016948474,2.4,2.32499969725684,28,29.3466513003759
McCreary County,7534,4.09189634899909,15.3379636741622,1.4,2.19804894406956,9,10.4766611264197
McLean County,4298,22.3259839837927,35.1254875359808,6.7,4.55349852420627,2,3.8119130917803
Madison County,37294,9.13207034211674,22.7994090433623,5.1,5.10789519729013,604,602.314791820355
Magoffin County,6134,2.67380041933963,8.23980409923445,1,1.33001975579933,13,12.8718818647115
Marion County,8372,15.7436459610655,39.5315698832962,9.4,9.28583426344401,177,175.251941447094
Marshall County,16306,4.79414987577481,11.6885231108396,2.1,2.12390914642641,85,82.0330615118148
Martin County,5329,0.342561572457693,12.1548956920299,0.1,1.56522928941728,2,3.01102980609934
Mason County,8159,9.8665965147191,24.0108506281716,4.1,3.98331946336149,32,31.1348012599506
Meade County,12599,35.5626287482819,90.5434797577866,17.5,17.293522285162,117,115.948526345763
Menifee County,3807,5.11627745224604,13.0304031645384,2.6,2.69975797369292,41,38.228893687279
Mercer County,10201,7.90117632501088,19.6305983871797,5.1,5.11269536902304,288,287.148422766519
Metcalfe County,4753,14.0299501837097,35.6183265561618,6.5,6.53977408979189,33,33.1424012929119
Monroe County,5272,9.09052635973341,23.0255310678851,5.1,5.15294827897754,87,84.8809048950916
Montgomery County,12188,10.7366643616996,26.7861880814648,5.2,5.17516187217601,105,104.477256251122
Morgan County,6043,4.29416615154676,10.7964967010289,1.7,1.79163901728754,18,17.6534213400263
Muhlenberg County,13841,10.1875149154379,24.7620837796212,3.5,3.46341311441062,17,19.3855066700497
Nelson County,19379,24.1797342400984,60.8532963909508,13.4,13.1656123720006,304,303.192687922829
Nicholas County,3298,4.43444131128904,14.0049365440656,2,2.5969822059579,20,19.6180310743663
Ohio County,10460,5.85707380262126,17.4172511006649,2.1,2.55245558789302,17,17.43761486266
Oldham County,22491,7.6706540675216,18.9856683621571,5.3,5.30587518027447,803,800.472691392079
Owen County,5765,9.38764519491857,23.5175816248298,4.7,4.72633936429255,58,58.2373538984831
Owsley County,2364,34.5878047930418,57.3692554783903,14,8.83128078502931,8,6.6428390041499
Pendleton County,6386,10.9139999863736,26.1535397325374,4.8,4.61743563242534,34,34.8491296101108
Perry County,13066,7.93420109521234,19.5205999621837,2.9,2.88076415429817,24,23.5989055535171
Pike County,31150,6.70707491638983,16.5045299213729,2.6,2.60133084791977,82,80.3647101224936
Powell County,5711,20.6488274603923,46.0531580347454,9,7.92794328831241,29,29.4233829150786
Pulaski County,31529,18.0700744584997,45.5914706709983,9.5,9.38461256547389,395,390.296165911322
Robertson County,1107,4.63996649614644,15.390070436173,1.9,2.61921062117722,4,4.28610581172045
Rockcastle County,7901,13.2074593253673,31.9370803241326,4.8,4.77441764552258,14,17.4881033014954
Rowan County,10411,5.37065181686575,13.4732626141084,2.5,2.57402705102364,74,71.2111213667326
Russell County,10203,8.01144930666393,22.5882622966616,3.2,3.65376456333453,32,33.5013448223247
Scott County,23110,11.5165143289,28.9254975448136,8.1,8.08313600040075,875,872.274300253478
